,Mass,RT,FORMULA,Isomers,Putative metabolite,confidence,Map,Pathway,max intensity,Fold change rings,Fold change schizonts,Fold change trophs,urbcs,ttest: rings,ttest: schizonts,ttest: trophs,ttest: urbcs,Mean: rings,Mean: schizonts,Mean: trophs,Mean: urbcs,SD: rings,SD: schizonts,SD: trophs,SD: urbcs,RSD: rings,RSD: schizonts,RSD: trophs,RSD: urbcs,Fisher: rings,Fisher: schizonts,Fisher: trophs,Fisher: urbcs,PeakID
424,672.473274935231,3.46242584228515,C37H69O8P,17,PA(34:2),5.0,Lipids: Glycerophospholipids,Glycerophosphates,2395476,1.47464655400594,1.44438592819205,2.32864394318486,1,0.310080274071201,0.235468369122998,0.0149667085130112,1.0,1291369.0625,1264869.4,2039226.78125,875714.291666667,581848.712144937,376139.437425745,305241.997362277,390360.470283709,0.450567331246513,0.29737413002935,0.149685165067894,0.445762361078716,0.351922194223218,0.515349412685836,5.51309063723027,0.0,n150
421,700.503794407994,3.47259002685547,C39H73O8P,23,PA(36:2),5.0,Lipids: Glycerophospholipids,Glycerophosphates,1298456,1.41112671425381,1.71727721165667,2.48501944369768,1,0.352098407580528,0.0823490039117616,0.00912857713820508,1.0,620697.84375,755361.125,1093060.03125,439859.75,276183.031158035,116412.203569121,153031.799634423,189847.81460014,0.444955680028548,0.154114634333506,0.140003106196665,0.431609881559157,0.291155909711942,2.00712041727141,7.17564706022486,0.0,n161
426,698.488706164355,3.45696833292642,C39H71O8P,17,PA(36:3),5.0,Lipids: Glycerophospholipids,Glycerophosphates,1086547,1.25000386649447,1.54190177798488,2.23589811636441,1,0.560756823933377,0.177820422680531,0.0232076013349863,1.0,518613.0625,639718.34375,927649.90625,414889.166666667,241656.815331062,154876.708329902,197142.526032422,197941.471306085,0.465967467472076,0.242101402661086,0.212518240668363,0.477094817626599,0.110255935567079,0.800222617078844,3.36882826225391,0.0,n164
431,696.47362630888,3.45226501464843,C39H69O8P,16,PA(36:4),5.0,Lipids: Glycerophospholipids,Glycerophosphates,1106575,1.30417529745049,1.3831560865452,1.99040465705651,1,0.45756170315125,0.230688924103582,0.0193928833358178,1.0,610745.4140625,647732.125,932106.6875,468300.09375,293268.835144475,193406.454334543,142690.516112076,170278.932474156,0.480181804712599,0.298590183919847,0.153083888384908,0.363610716176919,0.176438263450112,0.484870223260724,4.35851250839402,0.0,n163
469,451.306234789149,4.28854000091552,C22H46NO6P,3,PC(14:1),5.0,Lipids: Glycerophospholipids,Glycerophosphocholines,326207,0.862493167340267,1.07232990447641,1.02484576090632,1,0.0946842909291485,0.535761662053564,0.767550759364827,1.0,219819.375,273299.428125,261197.37890625,254865.0625,29131.1456406051,59173.6829299445,36840.6031792292,13541.8791621829,0.132523102845712,0.21651594127332,0.141045072249566,0.053133524969445,1.19010940693717,0.0922210014013251,0.0260274599795638,0.0,p1934
471,493.353058683547,7.28932421366373,C25H52NO6P,4,PC(17:1),5.0,Lipids: Glycerophospholipids,Glycerophosphocholines,106961,0.91121357374375,0.984531285455336,1.00747229249328,1,0.381108594106537,0.932316250825158,0.948297594547969,1.0,65903.08984375,71205.75859375,72864.9560546875,72324.5260416667,3638.18294047284,25076.3812588536,10872.3354911443,9934.08914650943,0.0552050434827657,0.352167882964661,0.149212132688096,0.137354362208835,0.368423167854766,0.00172044211134371,0.00134657878934826,0.0,p2481
484,543.332052384918,7.28128328959147,C28H50NO7P,6,PC(20:4),7.0,Lipids: Glycerophospholipids,Glycerophosphocholines,328712,1.16978831817931,0.645830308371881,0.866160613118986,1,0.321682300069002,0.125818921277823,0.49684769040557,1.0,276497.265625,152651.81875,204730.23828125,236365.213541667,41871.3784000182,83498.2151252732,64647.6092485166,49581.7899445901,0.151435054178099,0.546984738269115,0.315769716243413,0.209767711592001,0.382418682042076,0.743128865481019,0.150771591609782,0.0,p2476
482,593.369905285442,4.01080418904622,C29H56NO9P,2,PC(21:0(CHO)),7.0,Lipids: Glycerophospholipids,Oxidized glycerophospholipids,252842,0.898647202009643,1.27524538417094,0.871771914515133,1,0.717001962949043,0.492251286742514,0.706757111368616,1.0,122584.453125,173956.20625,118918.395507813,136409.986979167,38718.9021019027,93995.1960255982,64951.4044522819,51092.355645309,0.315854915650852,0.540338272786391,0.546184668695895,0.374549963508992,0.0465121216053264,0.123167657020727,0.0448016805098494,0.0,p2605
444,705.530005915339,3.76905666351318,C38H76NO8P,36,PC(30:0),5.0,Lipids: Glycerophospholipids,Glycerophosphocholines,964028,1.1027569942342,2.41669657857864,1.37081362316197,1,0.802284583070428,0.0328940596078487,0.434794812407781,1.0,301821.46484375,661443.00625,375187.8046875,273697.166666667,104490.758669954,238641.907754944,154368.253662994,155271.341089466,0.346200555099843,0.360789826938992,0.411442620827108,0.567310736097497,0.0225815706815868,1.85477934373091,0.214864806203898,0.0,p591
452,733.562633092072,3.77459917704263,C40H80NO8P,43,PC(32:0),5.0,Lipids: Glycerophospholipids,Glycerophosphocholines,3457810,1.01696682179335,1.7001414352108,1.23948880292877,1,0.959633184257669,0.119408349668564,0.509174234143625,1.0,1629150.59375,2723576.0,1985624.1875,1601970.25,249654.91014351,532253.979375977,399619.257919876,807630.402625212,0.153242377408986,0.195424684082976,0.201256239944889,0.504148190408163,0.00103383267985874,1.34464693962485,0.181277286235751,0.0,p577
