	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
PG (34:1) 16:0_18:1	0.0	0.0	0.0	0.001165	0.0008100000000000001	0.0	0.0005692883895131086	0.0004348314606741573	0.0006250936329588017	0.0013237918215613382	0.002113382899628253	0.0009263940520446098
PG (34:2) 16:0_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.325842696629215e-05	0.00041003717472118964	0.0006278810408921933	0.0
PG (36:1) 18:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039550561797752813	0.00035880149812734087	0.0006394052044609665	0.0009118959107806692	0.0004200743494423792
PG (36:2) 18:0_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.992509363295881e-05	0.00021561338289962826	0.00033643122676579927	0.0
PG (36:2) 18:1_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0002876404494382023	0.00022284644194756555	0.00030898876404494385	0.0007148698884758364	0.0012364312267657994	0.00048475836431226765
PG (36:3) 18:1_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011947565543071162	0.00013183520599250936	0.00040148698884758373	0.0005197026022304833	0.0
PS 34:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006183520599250937	0.0003883895131086142	0.0	0.000754275092936803	0.0
PS 36:1	0.0	0.0	0.0	0.002745	0.0	0.0	0.0010956304619225954	0.0013932584269662923	0.001262546816479401	0.001612639405204461	0.002826022304832714	0.0011553903345724909
PS 36:2	0.0	0.0	0.0	0.0014025	0.0	0.0	0.0	0.0008205992509363296	0.0008138576779026218	0.0011676579925650559	0.0017301115241635688	0.0
PS 38:4	0.00026725	0.000278875	0.00041250000000000005	0.0045625	0.0064075	0.0048200000000000005	0.0019265917602996254	0.0013812734082397004	0.0012771535580524344	0.0012434944237918217	0.00165910780669145	0.001463940520446097
PS 38:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036704119850187273	0.0	0.0	0.0	0.0
PS 40:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003838951310861423	0.00034831460674157307	0.0003070631970260223	0.0	0.0
PS 40:6	0.0	0.0	0.0	0.0011275	0.0	0.0	0.0	0.000452434456928839	0.0005621722846441948	0.0004104089219330855	0.0005070631970260223	0.0
TAG 48:0	0.0	0.0	0.0	0.0	0.0	0.000815	0.0	0.0	0.0	0.000254275092936803	0.00022156133828996283	0.0
TAG 50:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012230483271375467	1.4498141263940521e-05	0.0
TAG 50:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020561797752808992	0.001317843866171004	0.0015784386617100372	0.00080817843866171
TAG 50:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006089219330855018	0.0006758364312267659	0.00027583643122676584
TAG 52:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001371375464684015	0.0010535315985130112	0.0003330855018587361
TAG 52:2	0.0	0.0	3.3375000000000005e-05	0.0004825	0.0	0.0	0.0	0.0	0.0001797752808988764	0.0015323420074349443	0.002280297397769517	0.000812639405204461
TAG 52:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011152416356877324	0.0012000000000000001	0.0
TAG 54:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006394052044609665	0.0005643122676579926	0.00037769516728624534
TAG 54:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512267657992565	0.0006427509293680297	0.0
TAG 54:6	0.0	0.0	0.00014512500000000002	0.0030600000000000002	0.0	0.0031375	0.0021612983770287154	0.0	0.0	0.0011475836431226766	0.0	0.0
TAG 56:6	0.0	0.0	0.000140875	0.001915	0.0	0.0022025	0.002364044943820225	0.0	0.0	0.0009851301115241637	0.0	0.0
