	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
PE 36:2	0.0	0.0	75.75	3134.9999999999995	2702.5	2352.5	644.1947565543071	547.191011235955	1314.6067415730338	2317.472118959108	4023.7918215613386	914.4981412639405
PE 36:3	131.0	70.49999999999999	98.125	3862.5	3590.0	3020.0	1600.0	791.3857677902622	1037.8277153558054	1791.0780669144983	2956.133828996283	1168.7732342007434
PE 36:4	0.0	0.0	158.5	4305.0	2707.5000000000005	2672.5	1146.5667915106108	1508.9887640449438	2370.7865168539324	1567.2862453531598	2689.219330855019	1750.185873605948
PE 36:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	521.3483146067416	674.9063670411986	527.5092936802974	612.2676579925651	633.457249070632
PE 38:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283.64312267657994	0.0	0.0
PE 38:4	126.87500000000001	82.125	103.12500000000001	3950.0000000000005	3029.9999999999995	3942.5	1104.6192259675395	869.2883895131087	1252.8089887640451	1302.6022304832716	1651.672862453532	1395.539033457249
PE 38:5	0.0	85.62500000000001	132.62499999999997	2897.5	2497.5	0.0	1084.6441947565545	1109.3632958801497	1529.2134831460673	1538.6617100371748	1849.8141263940522	1143.4944237918216
PE 38:6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0449438202247	546.4419475655432	459.10780669144987	871.375464684015	0.0
PE 40:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	304.1198501872659	309.3632958801498	718.9591078066915	669.1449814126395	0.0
PE 40:6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350.561797752809	495.1672862453532	502.9739776951673	0.0
PG (34:1) 16:0_18:1	0.0	0.0	0.0	1165.0	810.0000000000001	0.0	569.2883895131085	434.8314606741573	625.0936329588017	1323.791821561338	2113.382899628253	926.3940520446098
PG (34:2) 16:0_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.25842696629215	410.0371747211896	627.8810408921934	0.0
